;Tana MS;Maskejohka;Pulmanki;Laksjohka;Vetsijoki;Utsjoki;Kuoppilasjoki;Leavvajohka;Baisjohka;Nilijoki;Valjohka;Akujoki;Anarjohka;Karasjohka;Iesjohka;Other tribs
2006;0.4358;0.0175;0.0062;0.0073;0.0390;0.0451;0.0101;0.0131;0.0125;0.0092;0.0143;0.0032;0.1903;0.1100;0.0864;0.0000
2007;0.4443;0.0346;0.0063;0.0197;0.0256;0.0506;0.0099;0.0211;0.0155;0.0115;0.0155;0.0040;0.1648;0.0989;0.0777;0.0000
2008;0.5820;0.0086;0.0045;0.0062;0.0192;0.0403;0.0076;0.0130;0.0104;0.0077;0.0115;0.0027;0.0755;0.1181;0.0928;0.0000
2009;0.4667;0.0169;0.0048;0.0077;0.0290;0.0432;0.0083;0.0130;0.0114;0.0084;0.0172;0.0030;0.1516;0.1225;0.0963;0.0000
2010;0.4667;0.0169;0.0048;0.0077;0.0290;0.0432;0.0083;0.0130;0.0114;0.0084;0.0172;0.0030;0.1516;0.1225;0.0963;0.0000
2011;0.4902;0.0155;0.0027;0.0024;0.0311;0.0305;0.0050;0.0061;0.0078;0.0058;0.0130;0.0020;0.1370;0.1405;0.1104;0.0000
2012;0.3771;0.0095;0.0041;0.0029;0.0305;0.0454;0.0083;0.0113;0.0120;0.0089;0.0315;0.0031;0.1920;0.1476;0.1159;0.0000
2013;0.4667;0.0169;0.0048;0.0077;0.0290;0.0432;0.0083;0.0130;0.0114;0.0084;0.0172;0.0030;0.1516;0.1225;0.0963;0.0000
2014;0.4667;0.0169;0.0048;0.0077;0.0290;0.0432;0.0083;0.0130;0.0114;0.0084;0.0172;0.0030;0.1516;0.1225;0.0963;0.0000
2015;0.4667;0.0169;0.0048;0.0077;0.0290;0.0432;0.0083;0.0130;0.0114;0.0084;0.0172;0.0030;0.1516;0.1470;0.0718;0.0000
2016;0.4667;0.0169;0.0048;0.0077;0.0290;0.0432;0.0083;0.0130;0.0114;0.0084;0.0172;0.0030;0.1516;0.1470;0.0718;0.0000
2017;0.4679;0.0183;0.0046;0.0065;0.0604;0.0508;0.0043;0.0129;0.0117;0.0075;0.0152;0.0029;0.1264;0.1416;0.0692;0.0000
2018;0.3500;0.0240;0.0080;0.0070;0.0750;0.0700;0.0060;0.0180;0.0130;0.0090;0.0200;0.0090;0.1610;0.1250;0.1050;0.0000
2019;0.3440;0.0290;0.0090;0.0070;0.0720;0.0710;0.0060;0.0180;0.0130;0.0100;0.0300;0.0060;0.1650;0.1200;0.1000;0.0000
2020;0.3470;0.0265;0.0085;0.0070;0.0735;0.0705;0.0060;0.0180;0.0130;0.0095;0.0250;0.0075;0.1630;0.1225;0.1025;0.0000
;;;;;;;;;;;;;;;;
