Year;Nordland;Troms;Outer_W;Outer_M;Outer_E;Alta;Porsanger;Tana;Varanger;TanaMS
2006;820.4050085;2383.035009;4757.931918;4269.531032;684.2938176;1429.388681;579.442778;12341.61843;5056.215101;88873
2007;749.0502099;2323.52279;5721.449337;5603.175002;1004.909221;1224.036715;580.0265014;19433.1799;4559.161187;88443
2008;432.449786;1005.666636;6852.373257;5420.991705;338.046613;1655.325485;525.8861546;21692.51894;4397.699229;104659
2009;509.2155595;854.3398436;4437.866632;3156.271418;450.834461;897.2937719;370.9075875;10640.2064;3757.407556;53450
2010;181.6374742;800.2695976;3505.571854;3609.404164;255.0899028;1219.502755;296.4828519;13437.33889;2670.067393;75340
2011;210.9890935;1212.012275;4014.168749;3025.480793;403.0967171;972.1537472;343.083438;11108.33269;2551.165607;68256
2012;105.2999074;892.6832868;2899.45403;2795.860653;364.7876728;1077.262183;373.0965503;13068.61678;2652.954426;91636
2013;110.2826756;636.0618051;1973.669505;3062.457034;459.6689148;590.5068702;363.0273214;11878.12538;2706.515791;68344
2014;98.79895191;776.9040619;2381.689636;4423.378016;640.1215484;716.7627526;394.6943167;13929.55805;2994.991526;83312
2015;181.7931857;734.0672464;2146.390499;2659.806623;367.1250395;710.1107389;229.4519463;8926.579455;2130.453307;65287
2016;188.5277085;799.6704813;3238.252901;2952.720025;368.1946819;753.1668078;394.791604;17594.62381;4338.803952;72814
2017;155.3611572;848.8978706;3347.332852;3550.943965;412.4858003;853.0462975;545.440889;12770.06728;4187.787572;52880
2018;204.0988593;999.5256937;2476.287596;3537.222701;360.6279524;742.6096318;567.5250916;15771.39954;4113.557298;42021
2019;194.4447458;619.885665;2351.529894;2742.365929;491.7581867;644.7158179;229.743808;8539.577086;2372.146189;33556
2020;169.6476881;565.8653452;2566.899686;2454.931103;136.2011315;577.3021265;211.7943129;4301.505215;2137.787436;26799
