Year;Catch;TanaTotal;ExplStart;ExplMin;ExplMax;ExplCorrSoft;FemProp;FemPropMin;FemPropMax;UnrepMin;UnrepMed;UnrepMax;AssessMethod;Count_G;Count_M;Count_S;Size_G;Size_M;Size_S;FemProp_G;FemProp_M;FemProp_S;CountUncMin;CountUncMed;CountUncMax
2006;4137;108596;0.4;0.8;1.25;0.2;0.47;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2007;2266;100542;0.4;0.8;1.25;0.2;0.74;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2008;2323;121860;0.4;0.8;1.25;0.2;0.64;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2009;2005;63499;0.4;0.8;1.25;0.2;0.446636086;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2010;2442;87058;0.4;0.8;1.25;0.2;0.616068182;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2011;1908;79342;0.4;0.8;1.25;0.2;0.45;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2012;4285;108794;0.4;0.8;1.25;0.2;0.5;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2013;1986;79883;0.4;0.8;1.25;0.2;0.615424837;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2014;2832;99236;0.4;0.8;1.25;0.2;0.59764881;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2015;1881;78124;0.4;0.8;1.25;0.2;0.650411523;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2016;1654;84744;0.4;0.8;1.25;0.2;0.566296296;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2017;639;60610;0.15;0.8;1.25;0.2;0.644655172;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2018;788;49530;0.14;0.8;1.25;0.2;0.512777778;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2019;564;40006;0.15;0.8;1.25;0.2;0.619125;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2020;326;31591;0.15;0.8;1.25;0.2;0.58;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2021;0;0;0;0.8;1.25;0.2;0.58;0.9;1.1;0.2;0.25;0.3;2;1503;556;23;1.9;3.8;8.9;0.15;0.8;0.7;0.9;1;1.1
