Year;Catch;TanaTotal;ExplStart;ExplMin;ExplMax;ExplCorrSoft;FemProp;FemPropMin;FemPropMax;UnrepMin;UnrepMed;UnrepMax;AssessMethod;Count_G;Count_M;Count_S;Size_G;Size_M;Size_S;FemProp_G;FemProp_M;FemProp_S;CountUncMin;CountUncMed;CountUncMax
1993;152635;152635;0.6;0.8;1.25;0.2;0.540614455;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
1994;131878;131878;0.6;0.8;1.25;0.2;0.621755677;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
1995;104631;104631;0.6;0.8;1.25;0.2;0.518902913;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
1996;88832;88832;0.6;0.8;1.25;0.2;0.48532699;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
1997;92506;92506;0.6;0.8;1.25;0.2;0.529798795;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
1998;102627;102627;0.6;0.8;1.25;0.2;0.487652425;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
1999;143821;143821;0.6;0.8;1.25;0.2;0.426970957;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2000;209532;209532;0.6;0.8;1.25;0.2;0.513755886;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2001;248585;248585;0.6;0.8;1.25;0.2;0.58554269;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2002;190107;190107;0.6;0.8;1.25;0.2;0.601242003;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2003;153738;153738;0.6;0.8;1.25;0.2;0.605451459;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2004;69994;69994;0.6;0.8;1.25;0.2;0.596397264;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2005;77190;77190;0.6;0.8;1.25;0.2;0.491524039;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2006;108596;108596;0.6;0.8;1.25;0.2;0.442339751;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2007;100542;100542;0.6;0.8;1.25;0.2;0.63986825;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2008;121860;121860;0.6;0.8;1.25;0.2;0.619127149;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2009;63499;63499;0.6;0.8;1.25;0.2;0.492306435;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2010;87058;87058;0.6;0.8;1.25;0.2;0.562645778;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2011;79342;79342;0.6;0.8;1.25;0.2;0.496515399;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2012;108794;108794;0.6;0.8;1.25;0.2;0.481152206;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2013;79883;79883;0.6;0.8;1.25;0.2;0.556009511;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2014;99236;99236;0.6;0.8;1.25;0.2;0.485288951;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2015;78124;78124;0.6;0.8;1.25;0.2;0.57195968;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2016;84744;84744;0.6;0.8;1.25;0.2;0.568479823;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2017;60608;60608;0.55;0.8;1.25;0.2;0.601936147;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2018;49530;49530;0.45;0.8;1.25;0.2;0.42356171;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2019;40006;40006;0.5;0.8;1.25;0.2;0.622440286;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2020;31591;31591;0.5;0.8;1.25;0.2;0.599748595;0.9;1.1;0.2;0.25;0.3;1;;;;;;;;;;;;
2021;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;2;19104.31668;6954.895495;1713.010849;1.653542341;4.034860757;9.271310714;0.177693436;0.709307358;0.699272248;0.9;1;1.1
2022;0;0;0;0;0;0;0;0.9;1.1;0.2;0.25;0.3;2;10538.91545;9072.238864;1747.271525;1.653542341;4.034860757;9.271310714;0.177693436;0.709307358;0.699272248;0.9;1;1.1
