Year;Catch;TanaTotal;ExplMin;ExplMax;ExplCorrSoft;AvgSize1SW;AvgSizeMSW;VideoCount1SW;VideoCountMSW;FemProp1SW;FemPropMSW;FemPropMin;FemPropMax;UnrepMin;UnrepMed;UnrepMax
2002;1965;190107;0.9;1.15;0;1.81;3.59;3089;0;0.61;0.74;0.9;1.1;0;0.2;0.4
2003;1305;153738;0.9;1.15;0;1.8;3.59;2582;0;0.61;0.74;0.9;1.1;0;0.2;0.4
2004;800;69994;0.9;1.15;0;1.74;3.59;1297;0;0.62;0.74;0.9;1.1;0;0.2;0.4
2005;1400;77190;0.9;1.15;0;1.62;3.59;2746;0;0.58;0.74;0.9;1.1;0;0.2;0.4
2006;2375;108596;0.9;1.15;0;1.64;3.61;6664;0;0.61;0.8;0.9;1.1;0;0.2;0.4
2007;1945;100542;0.9;1.15;0;1.48;3.29;3418;0;0.66;0.59;0.9;1.1;0;0.2;0.4
2008;2605;121860;0.9;1.15;0;1.61;3.58;2368;0;0.69;0.72;0.9;1.1;0;0.2;0.4
2009;2095;63499;0.9;1.15;0;1.65;3.59;3836;0;0.57;0.74;0.9;1.1;0;0.2;0.4
2010;1305;87058;0.9;1.15;0;1.92;3.59;2309;0;0.61;0.74;0.9;1.1;0;0.2;0.4
2011;1625;79342;0.9;1.15;0;1.9;3.86;3883;0;0.58;0.84;0.9;1.1;0;0.2;0.4
2012;2605;108794;0.9;1.15;0;2.1;4.16;5897;0;0.61;0.81;0.9;1.1;0;0.2;0.4
2013;1695;79883;0.9;1.15;0;1.73;3.59;5132;0;0.61;0.74;0.9;1.1;0;0.2;0.4
2014;2955;99236;0.9;1.15;0;2.12;3.59;4978;0;0.57;0.74;0.9;1.1;0;0.2;0.4
2015;2149;78124;0.9;1.15;0;1.89;3.59;3948;0;0.62;0.74;0.9;1.1;0;0.2;0.4
2016;2090;84744;0.9;1.15;0;2.03;3.59;3770;0;0.62;0.74;0.9;1.1;0;0.2;0.4
2017;1853;60608;0.85;1.2;0;2.67;3.59;2734;0;0.64;0.74;0.9;1.1;0;0.2;0.4
2018;1924;49530;0.9;1.15;0;1.72;3.59;4745;0;0.56;0.74;0.9;1.1;0;0.2;0.4
2019;1557;40006;0.9;1.15;0;2.13;3.59;1615;0;0.62;0.74;0.9;1.1;0;0.2;0.4
2020;885;31591;0.9;1.15;0;2.71;3.59;1290;0;0.62;0.74;0.9;1.1;0;0.2;0.4
