Year;Catch_G;Catch_M;Catch_S;TanaTotal;ExplStart_G;ExplStart_M;ExplStart_S;ExplMin;ExplMax;ExplCorrSoft;FemProp_G;FemProp_M;FemProp_S;FemPropMin;FemPropMax;UnrepMin;UnrepMed;UnrepMax
2006;149;100;0;108596;0.07;0.07;0.07;0.8;1.25;0.1;0.33;0.81;0.50;0.9;1.1;0;0.05;0.1
2007;29;60;8;100542;0.07;0.07;0.07;0.8;1.25;0.1;0.73;0.84;0.50;0.9;1.1;0;0.05;0.1
2008;70;76;0;121860;0.07;0.07;0.07;0.8;1.25;0.1;0.67;0.69;0.50;0.9;1.1;0;0.05;0.1
2009;93;17;10;63499;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2010;76;47;13;87058;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2011;109;89;31;79342;0.07;0.07;0.07;0.8;1.25;0.1;0.31;0.77;0.50;0.9;1.1;0;0.05;0.1
2012;217;93;12;108794;0.08;0.08;0.08;0.8;1.25;0.1;0.28;0.67;0.50;0.9;1.1;0;0.05;0.1
2013;120;51;0;79883;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2014;153;47;0;99236;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2015;72;73;10;78124;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2016;38;43;8;84744;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2017;34;46;8;60610;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2018;28;9;0;49530;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2019;19;46;0;40006;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
2020;30;9;0;31591;0.07;0.07;0.07;0.8;1.25;0.1;0.37;0.75;0.50;0.9;1.1;0;0.05;0.1
