Year;EstMethod;Count_G;Count_M;AreaCover;diveuncG_M;diveuncM_M;diveuncMin;diveuncMax;FemProp_G;FemProp_M;FemPropMin;FemPropMax;sizeG;sizeM;sizeMin;sizeMax
2003;1;60;3;1;1.15;1.15;0.875;1.125;0.661016949;0.333333333;0.875;1.125;1.3;3.6;0.9;1.15
2004;1;42;6;1;1.15;1.15;0.875;1.125;0.452380952;0.833333333;0.875;1.125;1.3;3.6;0.9;1.15
2005;1;101;5;1;1.15;1.15;0.875;1.125;0.415841584;0.8;0.875;1.125;1.3;3.6;0.9;1.15
2006;1;162;9;1;1.15;1.15;0.875;1.125;0.314814815;0.888888889;0.875;1.125;1.3;3.6;0.9;1.15
2007;1;50;18;1;1.15;1.15;0.875;1.125;0.265306122;0.888888889;0.875;1.125;1.3;3.6;0.9;1.15
2008;1;35;18;1;1.15;1.15;0.875;1.125;0.342857143;0.611111111;0.875;1.125;1.3;3.6;0.9;1.15
2009;1;47;7;1;1.2;1.2;0.875;1.125;0.282608696;0.857142857;0.875;1.125;1.3;3.6;0.9;1.15
2010;1;45;14;1;1.15;1.15;0.875;1.125;0.555555556;0.642857143;0.875;1.125;1.3;3.6;0.9;1.15
2011;1;70;14;1;1.15;1.15;0.875;1.125;0.314285714;0.714285714;0.875;1.125;1.3;3.6;0.9;1.15
2012;1;116;18;1;1.2;1.2;0.875;1.125;0.534482759;0.777777778;0.875;1.125;1.3;3.6;0.9;1.15
2013;1;62;24;1;1.15;1.15;0.875;1.125;0.370967742;0.541666667;0.875;1.125;1.3;3.6;0.9;1.15
2014;1;90;23;1;1.15;1.15;0.875;1.125;0.444444444;0.608695652;0.875;1.125;1.3;3.6;0.9;1.15
2015;1;40;7;1;1.15;1.15;0.875;1.125;0.45;0.714285714;0.875;1.125;1.3;3.6;0.9;1.15
2016;1;53;26;1;1.2;1.2;0.875;1.125;0.320754717;0.807692308;0.875;1.125;1.3;3.6;0.9;1.15
2017;1;21;17;1;1.2;1.2;0.875;1.125;0.476190476;0.294117647;0.875;1.125;1.3;3.6;0.9;1.15
2018;1;65;3;1;1.2;1.2;0.875;1.125;0.507692308;0.333333333;0.875;1.125;1.3;3.6;0.9;1.15
2019;1;24;7;1;1.15;1.15;0.875;1.125;0.541666667;1;0.875;1.125;1.3;3.6;0.9;1.15
2020;1;23;10;1;1.15;1.15;0.875;1.125;0.173913043;0.4;0.875;1.125;1.3;3.6;0.9;1.15
2021;1;65;4;1;1.15;1.15;0.875;1.125;0.415384615;1;0.875;1.125;1.3;3.6;0.9;1.15
2022;1;100;17;1;1.15;1.15;0.875;1.125;0.46;0.764705882;0.875;1.125;1.3;3.6;0.9;1.15
