Year;EstMethod;Count_G;Count_M;Catch;AreaCover;diveuncG_M;diveuncM_M;diveuncMin;diveuncMax;FemProp_G;FemProp_M;FemPropMin;FemPropMax;sizeG;sizeM;sizeMin;sizeMax;ExplStart;ExplMin;ExplMax;FemProp;UnrepMin;UnrepMed;UnrepMax
2006;1;210;6;;1;1.2;1.2;0.875;1.125;0.41;0.83;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2007;2;;;751;;;;;;;;0.9;1.1;;;;;0.45;0.8;1.25;0.78;0.2;0.25;0.3
2008;2;;;500;;;;;;;;0.9;1.1;;;;;0.45;0.8;1.25;0.63;0.2;0.25;0.3
2009;1;127;14;;1;1.25;1.25;0.875;1.125;0.37;0.64;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2010;1;65;24;;1;1.2;1.2;0.875;1.125;0.42;0.7;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2011;1;131;16;;1;1.2;1.2;0.875;1.125;0.4;0.75;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2012;1;151;14;;1;1.25;1.25;0.875;1.125;0.51;0.43;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2013;2;;;538;;;;;;;;0.9;1.1;;;;;0.45;0.8;1.25;0.58;0.2;0.25;0.3
2014;1;154;34;;0.7;1.2;1.2;0.875;1.125;0.52;0.65;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2015;1;75;15;;0.7;1.2;1.2;0.875;1.125;0.36;0.8;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2016;1;70;29;;0.7;1.25;1.25;0.875;1.125;0.4;0.93;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2017;1;65;27;;0.7;1.25;1.25;0.875;1.125;0.36;0.63;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2018;1;205;11;;0.7;1.25;1.25;0.875;1.125;0.43;0.5;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2019;2;;;268;;;;;;;;0.9;1.1;;;;;0.35;0.8;1.25;0.58;0.2;0.25;0.3
2020;1;42;7;;0.7;1.2;1.2;0.875;1.125;0.29;0.86;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2021;1;102;8;;0.7;1.2;1.2;0.875;1.125;0.5;0.5;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
2022;1;85;16;;0.7;1.2;1.2;0.875;1.125;0.435294118;0.5625;0.875;1.125;1.3;3.6;0.9;1.15;;;;;;;
