SumRiverList;SumTribCatch;SumMSCatch;SumCoastCatch;SumSpawning;AvgOverExpl;AvgMaxTotalExpl
Tana MS;0;11849.9556666667;8778.33975375964;25814.1061572527;0.366454840068879;0.113536813930212
Maskejohka;697.082427272021;897.267166666667;720.159427061381;2179.9025485361;0.290257806410021;0.209614860311866
Pulmanki;478.598876249352;288.6545;249.072452563786;920.077472672356;0.212349457913159;0.322347729197157
Laksjohka;69.607489050009;238.877333333333;169.349145890598;534.978776113057;0.277679995440187;0
Vetsijoki;501.579615609969;2512.4445;1214.99516566409;2754.84227433465;0;0.677793203848973
Utsjoki;1454.11460939782;2404.42516666667;1723.73613908361;4672.45965986459;0.388955134408483;0.418843366023662
Kuoppilasjoki;0;204.752;143.384398910924;538.416327450542;0.13985603236872;0.282923938915935
Leavvajohka;0;614.256;320.089757438878;882.948075857507;0.0392413482445644;0.51772348894846
Baisjohka;0;443.629333333333;261.168300165543;835.257353262803;0;0.558802799942476
Nilijoki;0;322.779833333333;160.956307273105;417.963549451149;0.183832649424714;0.397458295372845
Valjohka (alt);0;839.025;398.790810092854;966.895970311399;0.360372938461454;0.264408532824213
Akujoki;0;260.1725;76.244287006826;94.3884207631366;0.546647496610767;0.335406949243218
Anarjohka;558.864936914692;5556.786;2007.04383779103;3186.88649606336;0.576215810532515;0
Karasjohka;1298.24524677799;4187.4075;2494.72295794587;6783.42156527068;0.43934305027599;0.136133054313094
Iesjohka;1021.81026606334;3504.90083333333;1308.9325024852;2014.90518504753;0.568130361373077;0
