RiverNumber;RiverList;RiverYear;CatchForFile;OrigCatchForFile;FemPropForFile;Spawn_W_mod;Spawn_W_min;Spawn_W_max;Spawn_W_med;GBM_maal;GBM_prob;Spawn4yrMin;Spawn4yrMed;Spawn4yrMax;GBM_4yr_maal;GBM_4yr_prob;Expl_L;Expl_M;Expl_H;ExplAdj;UnrepForFile
1;Tana MS;2006;38698.4172552962;38730.85121;0.47;11701.5569430734;5701.27723797912;20824.1382117072;11653.8871864573;0.540902173413992;0.0054;0;0;0;0;0;0.481670486455143;0.601850972918042;0.749864189919634;0;0
1;Tana MS;2007;39265.3682617731;39298.27739;0.62;15839.8549828901;7760.17228128038;27140.9843600466;15780.5445784186;0.717358808235685;0.0926;0;0;0;0;0;0.480096130371094;0.60019387712989;0.749395081285391;0;0
1;Tana MS;2008;60856.1191208895;60907.12391;0.63;24147.4340272775;11833.4242459329;43390.6798543822;24515.9909033388;1.12059628891022;0.6115;0;0;0;0;0;0.481874153348387;0.60200097884781;0.748482578675995;0;0
1;Tana MS;2009;24923.9155339321;24944.80479;0.5;7974.90309694107;4021.93266776591;14279.9937118754;8025.78398095319;0.371371789572145;0;7329.20160823959;14915.9372625455;26408.9490345029;0.685932987914444;0.0692;0.48149135610627;0.600509476604505;0.748455819895173;0;0
1;Tana MS;2010;35131.2964739975;35160.74075;0.53;11667.1135821059;6125.7391835782;21498.7029564492;12024.9341525666;0.555583463194002;0.006;7435.31709463936;14907.3264223036;26577.5902206884;0.690202543937185;0.0758;0.4822096077472;0.598454000367152;0.748441738236621;0;0
1;Tana MS;2011;33429.1967294731;33457.21444;0.52;11503.2231883462;5602.46051434933;19984.4687826205;11304.518095638;0.523843147277018;0.0019;6895.88915290659;13823.1684736677;24788.4613263318;0.641240440578989;0.0411;0.480664542319351;0.60150891159152;0.746270047049955;0;0
1;Tana MS;2012;34521.4559840957;34550.38914;0.51;10870.3645320587;5494.91621821567;20390.2202999446;11335.044918363;0.519500624172684;0.0017;5311.26214597728;10503.901099863;19038.3464377224;0.492532855018186;3e-04;0.481272112313363;0.598229378886553;0.747751913798914;0;0
1;Tana MS;2013;31869.038041174;31895.74815;0.53;11055.712640029;5279.93262453193;19123.913897009;10943.5217385796;0.502170318855873;5e-04;5625.76213516878;11274.103485635;20249.3264840058;0.526397314452465;0.002;0.481885308004817;0.597951595344859;0.749037284797414;0;0
1;Tana MS;2014;38848.6669978374;38881.22688;0.51;12931.5430687375;6377.22030390222;22528.8948214493;12806.1118845531;0.59013756002642;0.0164;5688.63241524979;11590.2108572929;20506.8744502559;0.531366420811136;0.0028;0.482664619174392;0.601927519646628;0.748750686284422;0;0
1;Tana MS;2015;30443.5486137445;30469.06399;0.55;10557.8099995839;5281.2275062455;19704.5296692435;10797.774636423;0.501612876214104;0.0015;5608.32416322383;11353.8575601023;20436.8896719116;0.52849057178588;0.0029;0.48058842915997;0.600953904840543;0.747761691514276;0;0
